         2710492 function calls (2566112 primitive calls) in 3.352 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      546    0.002    0.000    0.005    0.000 float.py:132(avoid_collisions)
      546    0.000    0.000    0.000    0.000 boxes.py:89(all_children)
      543    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      532    0.001    0.000    0.001    0.000 utils.py:141(remove_whitespace)
      532    0.000    0.000    0.000    0.000 __init__.py:206(_page_type_match)
      532    0.000    0.000    0.000    0.000 parser.py:374(<genexpr>)
  532/252    0.001    0.000    0.002    0.000 compiler.py:75(_compile_node)
      529    0.001    0.000    0.002    0.000 boxes.py:107(copy)
      528    0.000    0.000    0.000    0.000 py_utils.py:302(<genexpr>)
      507    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
      504    0.000    0.000    0.000    0.000 wandb_config.py:172(__contains__)
      504    0.000    0.000    0.000    0.000 runtime.py:150(resolve_or_missing)
      504    0.000    0.000    0.000    0.000 runtime.py:234(resolve_or_missing)
      504    0.001    0.000    0.002    0.000 environment.py:445(iter_extensions)
  504/252    0.001    0.000    0.036    0.000 compiler.py:67(new_func)
      504    0.001    0.000    0.003    0.000 nodes.py:219(__eq__)
      504    0.000    0.000    0.003    0.000 nodes.py:224(__ne__)
      504    0.000    0.000    0.000    0.000 compiler.py:659(get_resolve_func)
   504/56    0.001    0.000    0.001    0.000 draw.py:834(draw_outlines)
      504    0.000    0.000    0.000    0.000 backgrounds.py:65(<listcomp>)
   504/28    0.002    0.000    0.011    0.000 backgrounds.py:49(layout_box_backgrounds)
      504    0.000    0.000    0.000    0.000 document.py:43(_get_matrix)
   504/28    0.001    0.000    0.001    0.000 document.py:105(_gather_links_and_bookmarks)
      504    0.003    0.000    0.007    0.000 percentages.py:143(resolve_radii_percentages)
      504    0.001    0.000    0.012    0.000 parser.py:17(parse)
      504    0.000    0.000    0.001    0.000 parser.py:300(skip_whitespace)
      484    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      482    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
      482    0.000    0.000    0.001    0.000 random.py:224(_randbelow)
      476    0.001    0.000    0.001    0.000 compiler.py:1523(visit_Const)
      476    0.002    0.000    0.004    0.000 idtracking.py:104(branch_update)
      476    0.001    0.000    0.022    0.000 idtracking.py:225(visit_If)
   476/28    0.001    0.000    0.002    0.000 stacking.py:131(dispatch_children)
      476    0.001    0.000    0.001    0.000 pages.py:279(_standardize_page_based_counters)
      472    0.000    0.000    0.008    0.000 parser.py:270(parse_block_node_or_indentless_sequence)
  471/314    0.000    0.000    0.001    0.000 inlines.py:1240(count_spaces)
      471    0.001    0.000    0.001    0.000 text.py:575(utf8_slice)
      469    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1333(invalidate_caches)
      466    0.000    0.000    0.001    0.000 random.py:256(choice)
      463    0.006    0.000    0.006    0.000 {built-in method posix.stat}
  460/459    0.000    0.000    0.001    0.000 {built-in method builtins.all}
      454    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      454    0.000    0.000    0.001    0.000 copy.py:253(_keep_alive)
  448/266    0.000    0.000    0.000    0.000 blocks.py:223(relative_positioning)
   448/28    0.001    0.000    0.002    0.000 stacking.py:76(dispatch)
      448    0.002    0.000    0.031    0.000 pages.py:313(make_box)
      448    0.000    0.000    0.000    0.000 pages.py:393(<genexpr>)
      448    0.001    0.000    0.001    0.000 boxes.py:700(__init__)
      448    0.000    0.000    0.000    0.000 computed_values.py:713(vertical_align)
      448    0.001    0.000    0.001    0.000 tree.py:83(__init__)
      448    0.000    0.000    0.001    0.000 tree.py:327(<listcomp>)
      448    0.001    0.000    0.001    0.000 tree.py:315(etree_children)
      448    0.001    0.000    0.001    0.000 tree.py:330(local_name)
      448    0.000    0.000    0.000    0.000 tree.py:401(_split_etree_tag)
      447    0.001    0.000    0.019    0.000 text.py:649(__init__)
      440    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      438    0.005    0.000    0.009    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
      435    0.000    0.000    0.000    0.000 shlex.py:68(punctuation_chars)
      429    0.001    0.000    0.001    0.000 {built-in method numpy.arange}
      422    0.000    0.000    0.000    0.000 parse.py:101(_noop)
      422    0.000    0.000    0.000    0.000 parse.py:112(_coerce_args)
      420    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      420    0.004    0.000    0.006    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
      420    0.000    0.000    0.000    0.000 runtime.py:247(<genexpr>)
      420    0.001    0.000    0.001    0.000 idtracking.py:77(store)
      420    0.000    0.000    0.002    0.000 compiler.py:175(inner)
      420    0.000    0.000    0.001    0.000 boxes.py:156(margin_width)
      420    0.000    0.000    0.001    0.000 boxes.py:160(margin_height)
      420    0.000    0.000    0.000    0.000 ast.py:214(__ne__)
      419    0.001    0.000    0.023    0.000 text.py:946(create_layout)
      419    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
      406    0.000    0.000    0.000    0.000 wandb_settings.py:270(_preprocess)
      406    0.000    0.000    0.001    0.000 wandb_settings.py:290(_validate)
      392    0.001    0.000    0.001    0.000 nodes.py:759(as_const)
      392    0.002    0.000    0.003    0.000 blocks.py:688(collapse_margin)
      392    0.000    0.000    0.001    0.000 draw.py:83(stacked)
      392    0.000    0.000    0.000    0.000 parser.py:21(_next_significant)
      392    0.001    0.000    0.002    0.000 parser.py:86(_parse_declaration)
