path,hasLower,hasNums,hasBrackets,base_size
fonts/Amaranth-Italic.ttf,True,True,True,26
fonts/Amaranth-Regular.ttf,True,True,True,26
fonts/Amatic-Bold.ttf,True,True,True,30
fonts/Amatic-Regular.ttf,True,True,True,29
fonts/AmaticSC-Bold.ttf,True,True,True,28
fonts/AmaticSC-Regular.ttf,True,True,True,29
fonts/Amazonas.ttf,True,True,True,28
fonts/Ambrosia.ttf,True,True,True,26
fonts/Amburegul.otf,True,True,False,15
fonts/AmburegulSmall.otf,False,True,False,14
fonts/AmericanStencil.otf,False,True,True,33
fonts/AmericanText.ttf,True,True,True,23
fonts/Amethysta-Regular.ttf,True,True,True,24
fonts/Amiko-Bold.ttf,True,True,True,24
fonts/Amiko-Regular.ttf,True,True,True,24
fonts/Amiko-SemiBold.ttf,True,True,True,25
fonts/Ampad 3D.otf,True,True,True,25
fonts/Ampad 3D2.ttf,True,True,True,24
fonts/Ampad Brush.ttf,True,True,True,26
fonts/Ampad Solid.ttf,True,True,True,25
fonts/Amptmann Script.ttf,True,True,True,21
fonts/AmstelHeavyNF.ttf,False,True,False,24
fonts/AmsterdamTangram.ttf,False,True,False,28
fonts/Amsterdrum Grotesk.ttf,True,True,True,27
fonts/AnAkronism.ttf,True,True,True,26
fonts/AnagramNF.otf,False,True,True,28
fonts/AnagramNF.ttf,False,True,True,31
fonts/AnagramNFShadow.otf,False,True,True,30
fonts/AnagramNFShadow.ttf,False,True,True,30
fonts/AnchorSteamNF.otf,True,True,True,25
fonts/AnchorSteamNF.ttf,True,True,True,26
fonts/Ancient God.ttf,True,True,True,31
fonts/Andada-Bold.otf,True,True,True,25
fonts/Andada-BoldItalic.otf,True,True,True,24
fonts/Andada-Italic.otf,True,True,True,24
fonts/Andada-Regular.otf,True,True,True,24
fonts/AndadaSC-Bold.otf,True,True,True,30
fonts/AndadaSC-BoldItalic.otf,True,True,True,27
fonts/AndadaSC-Italic.otf,True,True,True,31
fonts/AndadaSC-Regular.otf,True,True,True,29
fonts/Andala-Bold.ttf,True,True,True,25
fonts/Andala-BoldItalic.ttf,True,True,True,25
fonts/Andala-Italic.ttf,True,True,True,25
fonts/Andala.ttf,True,True,True,25
fonts/Andika-R.ttf,True,True,True,24
fonts/AndironOutlineNF.otf,False,True,True,29
fonts/AndironOutlineNF.ttf,False,True,True,28
fonts/Andrade-Swash.otf,True,False,False,25
fonts/Andrade-Swash.ttf,True,False,False,25
fonts/Android Insomnia Regular.ttf,True,True,True,25
fonts/AndromedaTV.TTF,True,True,True,30
fonts/Aneirin.ttf,False,True,False,25
fonts/Angel.ttf,False,True,True,28
fonts/AnglicanText.ttf,True,True,True,23
fonts/Angular-Inline.ttf,False,True,True,26
fonts/Angular-Shadow.ttf,False,True,True,22
fonts/Angular.ttf,False,True,True,25
fonts/Anichka.ttf,False,False,False,36
fonts/Animales.ttf,True,True,False,37
fonts/Animaletters.ttf,False,True,False,29
fonts/Anita semi square.ttf,True,True,True,27
fonts/Anke Print.TTF,True,True,False,20
fonts/Anke.otf,True,True,True,26
fonts/Anke.ttf,True,True,True,26
fonts/AnkeCall.ttf,True,True,False,17
fonts/AnnStone.ttf,False,False,False,27
fonts/Anonbats.ttf,True,False,False,28
fonts/AnonymousPro-Bold.ttf,True,True,True,27
fonts/AnonymousPro-BoldItalic.ttf,True,True,True,29
fonts/AnonymousPro-Italic.ttf,True,True,True,29
fonts/AnonymousPro-Regular.ttf,True,True,True,29
fonts/Another_.ttf,True,True,True,27
fonts/Anpad Script.ttf,True,True,True,25
fonts/Answer-Italic.ttf,True,True,False,28
fonts/Answer.ttf,True,True,False,29
fonts/Answer3DFilled-Italic.ttf,True,True,False,26
fonts/Answer3DFilled.ttf,True,True,False,26
fonts/Antapani-ExtraBold.otf,True,True,True,29
fonts/Anti.biz_DigitalDrip_OTF.otf,True,True,True,39
fonts/Anti.biz_DigitalDrip_TTF.ttf,True,True,True,38
fonts/Antibalon.otf,True,False,False,17
fonts/Antic-Regular.ttf,True,True,True,25
fonts/AnticDidone-Regular.ttf,True,True,True,25
fonts/AnticSlab-Regular.ttf,True,True,True,25
fonts/Antique Book Cover.otf,True,True,False,25
fonts/AntiqueNo14.ttf,True,True,True,26
fonts/Anton.ttf,True,True,True,25
fonts/Antonio-Bold.ttf,True,True,True,23
fonts/Antonio-Light.ttf,True,True,True,26
fonts/Antonio-Regular.ttf,True,True,True,23
fonts/Anyway__.ttf,True,True,True,23
fonts/Apex Lake Regular.ttf,False,True,False,25
fonts/ApexLake-Regular.otf,False,True,False,24
fonts/ApexMk2-BoldExtended.otf,False,True,True,34
fonts/ApexMk2-LightCondensed.otf,False,True,True,34
fonts/ApexMk2-Regular.otf,False,True,True,32
fonts/ApolloASM.ttf,True,True,True,24
fonts/Aquarius-Bold.otf,True,True,True,22
fonts/Aquarius-Bold.ttf,True,True,True,21
fonts/Aquarius-Regular.otf,True,True,True,24
fonts/Aquarius-Regular.ttf,True,True,True,21
fonts/Aquarius-RegularMono.otf,True,True,True,22
fonts/Aquarius-RegularMono.ttf,True,True,True,22
fonts/Aquarius-RegularSmallCaps.otf,True,True,True,23
fonts/Aquarius-RegularSmallCaps.ttf,True,True,True,28
fonts/Aquifer.otf,True,True,True,23
fonts/Aquifer.ttf,True,True,True,23
fonts/Arabella.ttf,True,True,True,24
fonts/ArabesqueInitialen.ttf,False,False,False,30
fonts/Arapey-Italic.ttf,True,True,True,28
fonts/Arapey-Regular.ttf,True,True,True,28
fonts/ArbuckleInlineNF.otf,True,True,True,28
fonts/ArbuckleInlineNF.ttf,True,True,True,26
fonts/ArbuckleRemixNF.otf,True,True,True,28
fonts/ArbuckleRemixNF.ttf,True,True,True,26
fonts/Arbutus-Regular.ttf,True,True,True,23
fonts/ArbutusSlab-Regular.ttf,True,True,True,23
fonts/Archistico_Simple.ttf,True,True,True,24
fonts/Architex.ttf,True,True,True,23
fonts/Archivo-Bold.ttf,True,True,True,27
fonts/Archivo-BoldItalic.ttf,True,True,True,27
fonts/Archivo-Italic.ttf,True,True,True,27
fonts/Archivo-Medium.ttf,True,True,True,27
fonts/Archivo-MediumItalic.ttf,True,True,True,27
fonts/Archivo-Regular.ttf,True,True,True,27
fonts/Archivo-SemiBold.ttf,True,True,True,27
fonts/Archivo-SemiBoldItalic.ttf,True,True,True,27
fonts/ArchivoBlack-Regular.otf,True,True,True,26
fonts/ArchivoBlack-Regular.ttf,True,True,True,26
fonts/ArchivoNarrow-Bold.otf,True,True,True,27
fonts/ArchivoNarrow-Bold.ttf,True,True,True,27
fonts/ArchivoNarrow-BoldItalic.otf,True,True,True,27
fonts/ArchivoNarrow-BoldItalic.ttf,True,True,True,27
fonts/ArchivoNarrow-Italic.otf,True,True,True,27
fonts/ArchivoNarrow-Italic.ttf,True,True,True,27
fonts/ArchivoNarrow-Regular.otf,True,True,True,27
fonts/ArchivoNarrow-Regular.ttf,True,True,True,27
fonts/ArcoPerpetuo-Regular.ttf,True,True,True,28
fonts/Arcon-Regular.otf,True,True,True,26
fonts/Ardeco-webfont.ttf,True,True,True,25
fonts/Ardeco.ttf,True,True,True,25
fonts/Arellion.otf,True,True,True,22
fonts/Arenq.otf,False,True,False,33
