path,hasLower,hasNums,hasBrackets
fonts/Angular-Inline.ttf,False,True,True
fonts/Angular-Shadow.ttf,False,True,True
fonts/Angular.ttf,False,True,True
fonts/Anichka.ttf,False,False,False
fonts/Animales.ttf,True,True,False
fonts/Animaletters.ttf,False,True,False
fonts/Anita semi square.ttf,True,True,True
fonts/Anke Print.TTF,True,True,False
fonts/Anke.otf,True,True,True
fonts/Anke.ttf,True,True,True
fonts/AnkeCall.ttf,True,True,False
fonts/AnnStone.ttf,False,False,False
fonts/Anonbats.ttf,True,False,False
fonts/AnonymousPro-Bold.ttf,True,True,True
fonts/AnonymousPro-BoldItalic.ttf,True,True,True
fonts/AnonymousPro-Italic.ttf,True,True,True
fonts/AnonymousPro-Regular.ttf,True,True,True
fonts/Another_.ttf,True,True,True
fonts/Anpad Script.ttf,True,True,True
fonts/Answer-Italic.ttf,True,True,False
fonts/Answer.ttf,True,True,False
fonts/Answer3DFilled-Italic.ttf,True,True,False
fonts/Answer3DFilled.ttf,True,True,False
fonts/Antapani-ExtraBold.otf,True,True,True
fonts/Anti.biz_DigitalDrip_OTF.otf,True,True,True
fonts/Anti.biz_DigitalDrip_TTF.ttf,True,True,True
fonts/Antibalon.otf,True,False,False
fonts/Antic-Regular.ttf,True,True,True
fonts/AnticDidone-Regular.ttf,True,True,True
fonts/AnticSlab-Regular.ttf,True,True,True
fonts/Antique Book Cover.otf,True,True,False
fonts/AntiqueNo14.ttf,True,True,True
fonts/Anton.ttf,True,True,True
fonts/Antonio-Bold.ttf,True,True,True
fonts/Antonio-Light.ttf,True,True,True
fonts/Antonio-Regular.ttf,True,True,True
fonts/Anyway__.ttf,True,True,True
fonts/Apex Lake Regular.ttf,False,True,False
fonts/ApexLake-Regular.otf,False,True,False
fonts/ApexMk2-BoldExtended.otf,False,True,True
fonts/ApexMk2-LightCondensed.otf,False,True,True
fonts/ApexMk2-Regular.otf,False,True,True
fonts/ApolloASM.ttf,True,True,True
fonts/Aquarius-Bold.otf,True,True,True
fonts/Aquarius-Bold.ttf,True,True,True
fonts/Aquarius-Regular.otf,True,True,True
fonts/Aquarius-Regular.ttf,True,True,True
fonts/Aquarius-RegularMono.otf,True,True,True
fonts/Aquarius-RegularMono.ttf,True,True,True
fonts/Aquarius-RegularSmallCaps.otf,True,True,True
fonts/Aquarius-RegularSmallCaps.ttf,True,True,True
fonts/Aquifer.otf,True,True,True
fonts/Aquifer.ttf,True,True,True
fonts/Arabella.ttf,True,True,True
fonts/ArabesqueInitialen.ttf,False,False,False
fonts/Arapey-Italic.ttf,True,True,True
fonts/Arapey-Regular.ttf,True,True,True
fonts/ArbuckleInlineNF.otf,True,True,True
fonts/ArbuckleInlineNF.ttf,True,True,True
fonts/ArbuckleRemixNF.otf,True,True,True
fonts/ArbuckleRemixNF.ttf,True,True,True
fonts/Arbutus-Regular.ttf,True,True,True
fonts/ArbutusSlab-Regular.ttf,True,True,True
fonts/Archistico_Simple.ttf,True,True,True
fonts/Architex.ttf,True,True,True
fonts/Archivo-Bold.ttf,True,True,True
fonts/Archivo-BoldItalic.ttf,True,True,True
fonts/Archivo-Italic.ttf,True,True,True
fonts/Archivo-Medium.ttf,True,True,True
fonts/Archivo-MediumItalic.ttf,True,True,True
fonts/Archivo-Regular.ttf,True,True,True
fonts/Archivo-SemiBold.ttf,True,True,True
fonts/Archivo-SemiBoldItalic.ttf,True,True,True
fonts/ArchivoBlack-Regular.otf,True,True,True
fonts/ArchivoBlack-Regular.ttf,True,True,True
fonts/ArchivoNarrow-Bold.otf,True,True,True
fonts/ArchivoNarrow-Bold.ttf,True,True,True
fonts/ArchivoNarrow-BoldItalic.otf,True,True,True
fonts/ArchivoNarrow-BoldItalic.ttf,True,True,True
fonts/ArchivoNarrow-Italic.otf,True,True,True
fonts/ArchivoNarrow-Italic.ttf,True,True,True
fonts/ArchivoNarrow-Regular.otf,True,True,True
fonts/ArchivoNarrow-Regular.ttf,True,True,True
fonts/ArcoPerpetuo-Regular.ttf,True,True,True
fonts/Arcon-Regular.otf,True,True,True
fonts/Ardeco-webfont.ttf,True,True,True
fonts/Ardeco.ttf,True,True,True
fonts/Arellion.otf,True,True,True
fonts/Arenq.otf,False,True,False
fonts/ArgentumSans-Black.ttf,True,True,True
fonts/ArgentumSans-BlackItalic.ttf,True,True,True
fonts/ArgentumSans-Bold.ttf,True,True,True
fonts/ArgentumSans-BoldItalic.ttf,True,True,True
fonts/ArgentumSans-ExtraBold.ttf,True,True,True
fonts/ArgentumSans-ExtraBoldItalic.ttf,True,True,True
fonts/ArgentumSans-ExtraLight.ttf,True,True,True
fonts/ArgentumSans-ExtraLightItalic.ttf,True,True,True
fonts/ArgentumSans-Italic.ttf,True,True,True
fonts/ArgentumSans-Light.ttf,True,True,True
fonts/ArgentumSans-LightItalic.ttf,True,True,True
fonts/ArgentumSans-Medium.ttf,True,True,True
fonts/ArgentumSans-MediumItalic.ttf,True,True,True
fonts/ArgentumSans-Regular.ttf,True,True,True
fonts/ArgentumSans-SemiBold.ttf,True,True,True
fonts/ArgentumSans-SemiBoldItalic.ttf,True,True,True
fonts/ArgentumSans-Thin.ttf,True,True,True
fonts/ArgentumSans-ThinItalic.ttf,True,True,True
fonts/ArgosGeorge.ttf,True,True,True
fonts/ArgosGeorgeContour.ttf,True,True,True
fonts/ArimaMadurai-Black.ttf,True,True,True
fonts/ArimaMadurai-Bold.ttf,True,True,True
fonts/ArimaMadurai-ExtraBold.ttf,True,True,True
fonts/ArimaMadurai-ExtraLight.ttf,True,True,True
fonts/ArimaMadurai-Light.ttf,True,True,True
fonts/ArimaMadurai-Medium.ttf,True,True,True
fonts/ArimaMadurai-Regular.ttf,True,True,True
fonts/ArimaMadurai-Thin.ttf,True,True,True
fonts/Arimo-Bold.ttf,True,True,True
fonts/Arimo-BoldItalic.ttf,True,True,True
fonts/Arimo-Italic.ttf,True,True,True
fonts/Arimo-Regular.ttf,True,True,True
fonts/AristokratZierbuchstaben.ttf,False,False,False
fonts/Arizonia-Regular.ttf,True,True,True
fonts/Arkhip_font.otf,True,True,True
fonts/Arkhip_font.ttf,True,True,True
fonts/Armata-Regular.ttf,True,True,True
fonts/Armenia Gradient Italic.ttf,False,True,False
fonts/Armenia Gradient.ttf,False,True,False
fonts/Armenia Grunge Italic.ttf,False,True,False
fonts/Armenia Grunge.ttf,False,True,False
fonts/Armenia Italic.ttf,False,True,False
fonts/Armenia.ttf,False,True,False
fonts/Arnoia Display Italic.otf,True,True,True
fonts/Arnoia Display.otf,True,True,True
fonts/AromiaScript-Black_DONATIONWARE.otf,True,True,True
fonts/AromiaScript-Bold_DONATIONWARE.otf,True,True,True
fonts/AromiaScript-Medium_DONATIONWARE.otf,True,True,True
fonts/AromiaScript-Thin_DONATIONWARE.otf,True,True,True
fonts/Arrows ADF.ttf,True,False,False
fonts/Arrows.otf,True,False,False
fonts/Arrows.ttf,True,False,False
fonts/ArrowsADF.otf,True,False,False
fonts/ArtDystopia.ttf,False,True,False
fonts/ArtNouveauCaps.ttf,False,True,False
fonts/Artega.otf,True,True,True
fonts/Articulate.ttf,True,True,True
fonts/Artifika-Regular.ttf,True,True,True
fonts/Arty Signature.otf,True,False,False
fonts/Arvin Bold Italic.ttf,True,True,True
fonts/Arvin Bold.ttf,True,True,True
fonts/Arvin Italic.ttf,True,True,True
fonts/Arvin Light Italic.ttf,True,True,True
fonts/Arvin Light.ttf,True,True,True
fonts/Arvin.ttf,True,True,True
fonts/Arvo-Bold.ttf,True,True,True
fonts/Arvo-BoldItalic.ttf,True,True,True
fonts/Arvo-Italic.ttf,True,True,True
fonts/Arvo-Regular.ttf,True,True,True
fonts/Asap-Bold.otf,True,True,True
fonts/Asap-Bold.ttf,True,True,True
fonts/Asap-BoldItalic.otf,True,True,True
fonts/Asap-BoldItalic.ttf,True,True,True
fonts/Asap-Italic.otf,True,True,True
fonts/Asap-Italic.ttf,True,True,True
fonts/Asap-Regular.otf,True,True,True
fonts/Asap-Regular.ttf,True,True,True
fonts/AsapCondensed-Bold.ttf,True,True,True
fonts/AsapCondensed-BoldItalic.ttf,True,True,True
fonts/AsapCondensed-Italic.ttf,True,True,True
fonts/AsapCondensed-Medium.ttf,True,True,True
fonts/AsapCondensed-MediumItalic.ttf,True,True,True
fonts/AsapCondensed-Regular.ttf,True,True,True
fonts/AsapCondensed-SemiBold.ttf,True,True,True
fonts/AsapCondensed-SemiBoldItalic.ttf,True,True,True
fonts/Asgalt-Regular.ttf,True,True,True
fonts/Ashfiana Oblique.otf,True,True,True
fonts/Ashfiana Oblique.ttf,True,True,True
fonts/Asiago.ttf,True,True,True
fonts/Askara-SVG.otf,False,True,True
fonts/Askara.otf,False,True,True
fonts/Asket Condensed Extrabold.otf,True,True,True
fonts/Asket Condensed Extrabold.ttf,True,True,True
fonts/Asket Extended Light.otf,True,True,True
fonts/Asket Extended Light.ttf,True,True,True
fonts/Asket Extrabold.otf,True,True,True
fonts/Asket Extrabold.ttf,True,True,True
fonts/Asket Narrow Light.otf,True,True,True
fonts/Asket Narrow Light.ttf,True,True,True
fonts/Asmbuh.otf,True,True,True
fonts/Aspargo.ttf,True,True,False
fonts/Aspergit Bold Italic.otf,True,True,True
fonts/Aspergit Bold.otf,True,True,True
fonts/Aspergit Italic.otf,True,True,True
fonts/Aspergit Light Italic.otf,True,True,True
fonts/Aspergit Light.otf,True,True,True
fonts/Aspergit.otf,True,True,True
fonts/Asset.ttf,True,True,True
fonts/Assistant-Bold.ttf,True,True,True
fonts/Assistant-ExtraBold.ttf,True,True,True
fonts/Assistant-ExtraLight.ttf,True,True,True
fonts/Assistant-Light.ttf,True,True,True
fonts/Assistant-Regular.ttf,True,True,True
fonts/Assistant-SemiBold.ttf,True,True,True
fonts/Assyrian-Italic.ttf,False,True,False
